time,busy
1,474.625
2,515.8333333333333
3,516.7916666666666
4,517.5208333333334
5,515.2291666666666
6,563.2083333333333
7,568.4166666666667
8,570.6666666666666
9,569.6875
10,570.4375000000001
11,598.2708333333334
12,615.1666666666667
13,615.1875
14,614.2291666666667
15,613.2708333333333
16,653.6250000000001
17,669.5625000000001
18,670.5
19,670.5833333333333
20,671.8541666666666
21,714.0833333333333
22,717.2083333333334
23,716.3333333333333
24,715.9583333333334
25,712.3958333333333
26,747.2083333333334
27,768.9999999999999
28,770.3125000000001
29,773.3541666666666
30,773.6041666666667
31,799.4166666666666
32,831.8958333333333
33,834.9583333333335
34,834.2708333333334
35,835.6458333333333
36,855.8333333333334
37,882.6041666666666
38,882.9166666666666
39,883.8958333333334
40,885.0
41,900.4374999999999
42,939.5208333333334
43,937.9583333333333
44,937.7291666666666
45,938.7291666666666
46,947.1041666666667
47,990.0416666666666
48,992.0416666666666
49,989.2916666666666
50,990.9166666666666
51,980.5208333333334
52,1000.0
53,1000.0
54,1000.0
55,1000.0
56,1000.0
57,1000.0
58,1000.0
59,1000.0
60,1000.0
61,1000.0
62,1000.0
63,1000.0
64,1000.0
65,1000.0
