time,consumed-rate
1,578.5979798656795
2,1017.4915329925587
3,1014.7726508820348
4,1013.553850720612
5,1012.8803992979019
6,1069.0221429398061
7,1114.5881289418649
8,1118.1560929996565
9,1116.3631216063409
10,1119.206742012017
11,1158.3245985684212
12,1215.5327804884794
13,1214.7999924394737
14,1203.6549969491782
15,1213.367333107783
16,1241.243950559842
17,1312.475501408726
18,1313.974989936044
19,1300.5534934380762
20,1311.010941305981
21,1336.362680026236
22,1420.8318778838664
23,1421.601727104764
24,1423.4320392778918
25,1425.20985419714
26,1438.4594145685785
27,1529.8667462199387
28,1532.1036501208127
29,1529.030565915855
30,1527.8446483795058
31,1551.5800577266868
32,1593.2236472123218
33,1608.8719416024528
34,1609.0675241838344
35,1612.652288770322
36,1629.2073399231613
37,1713.7292412059933
38,1717.1809064719118
39,1717.6021491578585
40,1716.9313564469594
41,1726.2375472756319
42,1826.2354101136766
43,1828.054018240252
44,1829.62891873523
45,1831.48422586805
46,1829.9703567711342
47,1926.509543576792
48,1925.562753561313
49,1919.9852803910521
50,1921.9432737223851
51,1920.236268895607
52,2001.7213489506214
53,1997.4517836581485
54,2011.6478259442672
55,2017.058685942811
56,2015.9346031162677
57,2116.665257516526
58,2119.6697838472837
59,2122.137547891699
60,2123.6938602887712
61,2127.1322091856323
62,2226.240223820225
63,2221.202108021528
64,2221.26368939001
65,2219.0428473154857
